ts	iteration	bucket	proposal_source	decision	score	avg_latency_ms	avg_gflops	reason	log_messages
2026-03-19T18:13:43	1	medium	agent_heuristic	keep	1.511399	0.699466	99.803600	score_improved	iter=1 bucket=medium proposal=agent_heuristic candidate=blocked_pack|96|96|96|True|True|True|16|2|i8|i32 decision=keep score=1.511399 reason=score_improved note=heuristic_after_openai_fail
2026-03-19T18:13:43	2	medium	agent_heuristic	revert	0.061156	21.414025	5.006850	improvement_below_threshold	iter=2 bucket=medium proposal=agent_heuristic candidate=naive|0|0|0|False|False|False|1|1|i8|i32 decision=revert score=0.061156 reason=improvement_below_threshold note=heuristic_after_openai_fail
2026-03-19T18:13:43	3	medium	agent_heuristic	keep	2.306105	0.450777	149.067233	score_improved	iter=3 bucket=medium proposal=agent_heuristic candidate=blocked_pack|80|96|128|True|True|True|16|2|i8|i32 decision=keep score=2.306105 reason=score_improved note=heuristic_after_openai_fail
2026-03-19T18:13:43	4	medium	agent_heuristic	revert	2.178438	0.473276	139.307867	improvement_below_threshold	iter=4 bucket=medium proposal=agent_heuristic candidate=blocked_pack|80|96|128|True|True|True|16|1|i8|i32 decision=revert score=2.178438 reason=improvement_below_threshold note=heuristic_after_openai_fail
2026-03-19T18:13:43	5	medium	agent_heuristic	revert	0.284905	4.557579	23.163367	improvement_below_threshold	iter=5 bucket=medium proposal=agent_heuristic candidate=blocked|64|64|96|False|False|True|1|2|i8|i32 decision=revert score=0.284905 reason=improvement_below_threshold note=heuristic_after_openai_fail
2026-03-19T18:13:43	6	medium	agent_heuristic	revert	2.141676	0.482056	137.202400	improvement_below_threshold	iter=6 bucket=medium proposal=agent_heuristic candidate=blocked_pack|80|112|128|False|False|False|16|1|i8|i32 decision=revert score=2.141676 reason=improvement_below_threshold note=heuristic_after_openai_fail
2026-03-19T18:13:44	7	large	agent_heuristic	revert	0.850243	77.347300	70.882800	improvement_below_threshold	iter=7 bucket=large proposal=agent_heuristic candidate=blocked|48|32|96|False|False|True|4|2|i8|i32 decision=revert score=0.850243 reason=improvement_below_threshold note=heuristic_after_openai_fail
2026-03-19T18:13:45	8	large	agent_heuristic	keep	1.077668	60.263650	89.118250	score_improved	iter=8 bucket=large proposal=agent_heuristic candidate=blocked|48|64|32|True|True|True|4|1|i8|i32 decision=keep score=1.077668 reason=score_improved note=heuristic_after_openai_fail
