shape	bucket	m	n	k	candidate_signature	kc_latency_ms_p50	kc_gflops	openblas_latency_ms_p50	openblas_gflops	kc_gflops_vs_openblas	kc_latency_speedup_vs_openblas
s128	medium	128	128	128	blocked_pack|128|64|128|True|True|False|16|4|None|None	0.179803	23.3273	0.0142365	294.616	0.07917865967903984	0.07917832294233133
s256	medium	256	256	256	blocked_pack|128|64|128|True|True|False|16|4|None|None	0.447059	75.0559	0.05034	666.556	0.11260254202197563	0.11260258713055772
m512x1024x256	medium	512	1024	256	blocked_pack|128|64|128|True|True|False|16|4|None|None	1.21074	221.712	0.289894	925.98	0.23943497699734334	0.23943538662305697
m1024	large	1024	1024	1024	blocked_pack|128|96|64|True|True|False|16|1|None|None	8.24609	260.424	1.96518	1092.77	0.23831547352141802	0.23831658398101402
l2048x1024x2048	large	2048	1024	2048	blocked_pack|128|96|64|True|True|False|16|1|None|None	40.1548	213.921	4.70113	1827.2	0.11707585376532399	0.11707516909560002
